ID,地區,年月,複數原告,複數被告,賠償金額,總賠償金額,PDF
"KSEV,111,雄小,1146,20220713,1",高雄,2022年07月,否,否,[25872],25872,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1146%2c20220713%2c1.pdf
"KSEV,111,雄小,1167,20220713,1",高雄,2022年07月,否,否,[22857],22857,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1167%2c20220713%2c1.pdf
"KSEV,111,雄小,1209,20220617,1",高雄,2022年06月,否,否,[20187],20187,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1209%2c20220617%2c1.pdf
"KSEV,111,雄小,1235,20220721,1",高雄,2022年07月,否,否,[12672],12672,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1235%2c20220721%2c1.pdf
"KSEV,111,雄小,1279,20220617,1",高雄,2022年06月,否,否,[77011],77011,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1279%2c20220617%2c1.pdf
"KSEV,111,雄小,1280,20220912,1",高雄,2022年09月,否,是,[19427],19427,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1280%2c20220912%2c1.pdf
"KSEV,111,雄小,1301,20220830,1",高雄,2022年08月,否,否,[],0,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1301%2c20220830%2c1.pdf
"KSEV,111,雄小,1311,20220803,1",高雄,2022年08月,否,否,[15200],15200,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1311%2c20220803%2c1.pdf
"KSEV,111,雄小,1312,20220930,1",高雄,2022年09月,否,否,[38461],38461,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1312%2c20220930%2c1.pdf
"KSEV,111,雄小,1363,20230109,1",高雄,2023年01月,否,否,[53807],53807,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1363%2c20230109%2c1.pdf
"KSEV,111,雄小,1394,20220831,1",高雄,2022年08月,否,否,[45220],45220,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1394%2c20220831%2c1.pdf
"KSEV,111,雄小,1408,20220803,1",高雄,2022年08月,否,否,[16473],16473,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1408%2c20220803%2c1.pdf
"KSEV,111,雄小,1419,20220719,1",高雄,2022年07月,否,否,[9792],9792,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1419%2c20220719%2c1.pdf
