date,2317,2330,2454,portfolio_value
2014-05-09,89.4,120.0,506.0,715.4
2014-05-08,89.1,119.5,512.0,720.6
2014-05-07,88.8,118.5,518.0,725.3
2014-05-06,89.0,118.0,509.0,716.0
2014-05-05,88.7,117.0,513.0,718.7
2014-05-02,88.8,118.0,505.0,711.8
2014-04-30,86.6,118.5,472.0,677.1
2014-04-29,87.8,120.5,483.5,691.8
2014-04-28,86.4,119.0,485.5,690.9
2014-04-25,87.0,118.5,469.0,674.5
2014-04-24,88.6,121.0,477.0,686.6
2014-04-23,88.6,121.0,472.5,682.1
2014-04-22,87.8,121.5,470.0,679.3
2014-04-21,87.9,121.5,469.0,678.4
2014-04-18,88.0,123.0,457.0,668.0
2014-04-17,87.9,120.0,461.5,669.4
2014-04-16,87.5,121.0,452.0,660.5
2014-04-15,87.2,122.5,456.5,666.2
2014-04-14,86.6,120.5,460.0,667.1
2014-04-11,86.1,120.0,465.0,671.1
2014-04-10,86.8,119.5,469.5,675.8
2014-04-09,86.5,119.0,461.5,667.0
2014-04-08,86.4,119.0,460.0,665.4
2014-04-07,86.3,117.5,461.0,664.8
2014-04-03,86.2,118.5,458.0,662.7
2014-04-02,86.2,120.0,467.0,673.2
2014-04-01,86.2,119.5,463.5,669.2
2014-03-31,86.3,118.5,449.5,654.3
2014-03-28,86.3,117.5,445.0,648.8
2014-03-27,86.3,116.0,452.0,654.3
2014-03-26,86.0,115.5,457.5,659.0
2014-03-25,85.7,113.5,451.0,650.2
2014-03-24,86.0,112.5,444.0,642.5
2014-03-21,84.7,112.5,442.5,639.7
2014-03-20,84.4,112.0,443.5,639.9
2014-03-19,85.3,114.5,440.0,639.8
2014-03-18,86.0,114.5,453.0,653.5
2014-03-17,86.7,114.0,453.0,653.7
2014-03-14,85.5,115.0,460.0,660.5
2014-03-13,86.1,116.5,452.0,654.6
2014-03-12,84.7,113.0,456.0,653.7
2014-03-11,84.2,114.0,474.5,672.7
2014-03-10,84.6,113.0,472.0,669.6
2014-03-07,84.7,114.5,473.0,672.2
2014-03-06,84.4,113.0,465.0,662.4
2014-03-05,83.0,110.0,450.5,643.5
2014-03-04,82.8,107.5,445.0,635.3
2014-03-03,83.1,108.0,450.0,641.1
2014-02-27,84.0,108.0,445.0,637.0
2014-02-26,83.6,107.5,445.5,636.6
2014-02-25,82.8,108.0,445.5,636.3
2014-02-24,82.7,107.0,436.0,625.7
2014-02-21,83.7,107.5,436.0,627.2
2014-02-20,82.8,106.5,435.0,624.3
2014-02-19,84.0,108.0,435.0,627.0
2014-02-18,83.8,108.0,433.5,625.3
2014-02-17,83.5,108.5,429.0,621.0
2014-02-14,83.5,107.5,431.5,622.5
2014-02-13,82.7,105.0,429.0,616.7
2014-02-12,82.3,105.0,434.0,621.3
2014-02-11,80.4,104.5,419.0,603.9
2014-02-10,81.7,103.0,410.0,594.7
2014-02-07,81.4,104.0,409.5,594.9
2014-02-06,81.9,102.0,407.5,591.4
2014-02-05,81.3,100.5,401.0,582.8
2014-01-27,84.9,105.0,400.5,590.4
2014-01-24,85.0,108.0,407.5,600.5
2014-01-23,83.9,107.5,402.0,593.4
2014-01-22,84.2,107.5,399.0,590.7
2014-01-21,84.5,106.5,388.0,579.0
2014-01-20,85.2,107.5,410.0,602.7
2014-01-17,83.8,107.5,415.0,606.3
2014-01-16,83.9,107.0,418.0,608.9
2014-01-15,83.3,105.0,419.0,607.3
2014-01-14,82.3,103.5,415.5,601.3
2014-01-13,81.8,103.0,415.5,600.3
2014-01-10,81.2,102.0,417.0,600.2
2014-01-09,80.5,101.0,412.0,593.5
2014-01-08,79.5,104.0,407.0,590.5
2014-01-07,79.0,102.0,418.5,599.5
2014-01-06,79.0,102.5,431.5,613.0
2014-01-03,79.4,102.5,435.5,617.4
2014-01-02,80.4,104.5,441.0,625.9
2013-12-31,80.1,105.5,443.5,629.1
2013-12-30,80.3,106.0,444.5,630.8
2013-12-27,79.9,104.5,436.0,620.4
2013-12-26,79.3,104.0,428.5,611.8
2013-12-25,79.0,103.0,430.0,612.0
2013-12-24,79.1,103.0,427.5,609.6
2013-12-23,79.0,104.0,431.5,614.5
2013-12-20,79.0,102.0,432.5,613.5
2013-12-19,79.3,102.5,429.0,610.8
2013-12-18,78.9,101.0,418.0,597.9
2013-12-17,78.1,103.5,423.5,605.1
2013-12-16,77.6,102.0,417.0,596.6
2013-12-13,78.5,102.5,417.0,598.0
2013-12-12,78.5,103.0,421.0,602.5
2013-12-11,78.2,105.0,430.0,613.2
2013-12-10,79.9,104.0,429.5,613.4
2013-12-09,79.6,105.0,428.0,612.6
2013-12-06,78.5,103.0,430.0,611.5
2013-12-05,78.4,104.0,430.5,612.9
2013-12-04,79.0,105.0,435.0,619.0
2013-12-03,78.1,104.0,434.5,616.6
2013-12-02,78.2,104.5,430.0,612.7
2013-11-29,78.0,105.0,436.0,619.0
2013-11-28,75.9,105.0,435.0,615.9
2013-11-27,75.4,105.0,428.5,608.9
2013-11-26,75.5,103.5,431.5,610.5
2013-11-25,75.1,101.0,428.0,604.1
2013-11-22,74.6,100.0,424.0,598.6
2013-11-21,75.0,101.0,415.0,591.0
2013-11-20,75.8,103.0,419.0,597.8
2013-11-19,75.8,105.0,431.5,612.3
2013-11-18,75.6,104.0,414.0,593.6
2013-11-15,75.3,104.0,410.5,589.8
2013-11-14,75.4,103.5,410.5,589.4
2013-11-13,74.4,103.0,412.5,589.9
2013-11-12,74.5,105.0,415.0,594.5
2013-11-11,74.9,104.5,426.0,605.4
2013-11-08,73.9,106.0,428.0,607.9
2013-11-07,74.5,107.0,429.5,611.0
2013-11-06,74.4,107.0,432.0,613.4
2013-11-05,73.6,106.5,430.0,610.1
2013-11-04,74.0,109.0,432.5,615.5
2013-11-01,74.4,109.5,404.5,588.4
2013-10-31,74.5,109.5,402.0,586.0
2013-10-30,75.0,110.0,395.0,580.0
2013-10-29,74.0,109.5,395.0,578.5
2013-10-28,75.0,109.5,391.0,575.5
2013-10-25,75.2,107.0,388.5,570.7
2013-10-24,75.8,110.0,394.0,579.8
2013-10-23,75.3,111.0,396.0,582.3
2013-10-22,75.5,111.5,391.5,578.5
2013-10-21,75.1,110.0,391.5,576.6
2013-10-18,75.0,110.0,395.0,580.0
2013-10-17,73.7,107.0,394.0,574.7
