站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量,ESH
桃園農改,*28.6,*36.7,*23.4,,,1999,7,桃園市,31,,,
五峰站,22.4,30.5,0,,398.33,1999,7,新竹縣,31,,12.849354838709678,3.5695507741935484
苗栗農改,27.7,35.7,23.2,,499.34,1999,7,苗栗縣,31,,16.10774193548387,4.474730709677418
台中農改,28,33.9,23.6,209.1,341.34,1999,7,台中市,31,6.745161290322581,11.010967741935485,3.0588468387096777
臺大溪頭,20.4,27.3,16.3,,279.81,1999,7,南投縣,31,,9.026129032258064,2.50745864516129
雲林分場,27.7,35.7,23,117.4,370.74,1999,7,雲林縣,31,3.787096774193549,11.959354838709675,3.3223087741935475
義竹分場,27.6,34.3,23.2,,464.76,1999,7,嘉義縣,31,,14.992258064516127,4.16484929032258
畜試所,27.2,34.9,23.3,97.9,,1999,7,臺南市,31,3.1580645161290324,,
高雄農改,27.5,34.1,23.5,107.4,324.82,1999,7,屏東縣,31,3.4645161290322584,10.478064516129033,2.9108063225806453
恆春畜試,28.4,33,24.4,100.2,552.78,1999,7,屏東縣,31,3.232258064516129,17.831612903225807,4.953622064516129
蘭陽分場,28,33.9,23.4,156.3,530.14,1999,7,宜蘭縣,31,5.041935483870968,17.101290322580645,4.750738451612903
花蓮農改,28,33.4,23,167.5,278.31,1999,7,花蓮縣,31,5.403225806451613,8.977741935483872,2.4940167096774193
斑鳩分場,26.9,35,22.1,110.2,350.27,1999,7,台東縣,31,3.55483870967742,11.299032258064516,3.1388711612903224
農業試驗所,27.6,35,22.5,88.7,342.14,1999,7,台中市,31,2.861290322580645,11.036774193548387,3.066015870967742
桃園農改,*28.1,*34.1,*23.3,,,1999,8,桃園市,31,,,
五峰站,21.7,28.9,18.3,151.9,443.93,1999,8,新竹縣,31,4.9,14.32032258064516,3.9781856129032254
台中農改,27.8,35.6,23.2,253.3,408.28,1999,8,台中市,31,8.170967741935485,13.17032258064516,3.658715612903225
雲林分場,27.3,36,22.5,186.3,425.71,1999,8,雲林縣,31,6.009677419354839,13.73258064516129,3.8149109032258064
義竹分場,27.4,35.7,23,,551.31,1999,8,嘉義縣,31,,17.784193548387094,4.9404489677419345
高雄農改,27.2,34,23,166.4,358.02,1999,8,屏東縣,31,5.367741935483871,11.549032258064516,3.2083211612903226
斑鳩分場,25.6,33.4,20.9,135.7,328.87,1999,8,台東縣,31,4.377419354838709,10.608709677419355,2.9470995483870968
花蓮農改,27.3,33.8,21.9,106.8,310.33,1999,8,花蓮縣,31,3.4451612903225803,10.010645161290322,2.780957225806451
蘭陽分場,27.8,35.1,22.5,215.7,579.38,1999,8,宜蘭縣,31,6.958064516129032,18.68967741935484,5.191992387096774
茶改場,27,34.6,22.6,209.8,471.61,1999,8,桃園市,31,6.767741935483872,15.213225806451613,4.226234129032258
畜試所,27.2,35.2,22.8,167.6,337.61,1999,8,臺南市,31,5.406451612903226,10.890645161290324,3.025421225806452
恆春畜試,*27.7,*32.7,*23.8,,,1999,8,屏東縣,31,,,
農業試驗所,27.4,35.5,22.5,172.2,414.29,1999,8,台中市,31,5.554838709677419,13.364193548387098,3.7125729677419357
苗栗農改,27.5,34.7,22.8,,582.67,1999,8,苗栗縣,31,,18.7958064516129,5.221475032258064
臺大溪頭,19.6,26.2,14.5,,279.58,1999,8,南投縣,31,,9.018709677419354,2.5053975483870965
桃園農改,27.1,33.6,19.1,218.1,427.17,1999,9,桃園市,30,7.27,14.239,3.9555942
五峰站,20.8,30.1,14,101.7,312.08,1999,9,新竹縣,30,3.39,10.402666666666669,2.8898608000000006
台中農改,27.5,34.2,20.6,226.7,352.9,1999,9,台中市,30,7.556666666666667,11.763333333333332,3.2678539999999994
雲林分場,27,34.3,19.5,171.2,383.85,1999,9,雲林縣,30,5.706666666666666,12.795,3.554451
義竹分場,27.4,34.1,19,,518.76,1999,9,嘉義縣,30,,17.291999999999998,4.8037176
高雄農改,27,34.5,21.3,139.0,322.17,1999,9,屏東縣,30,4.633333333333334,10.739,2.9832942
斑鳩分場,24.9,32.2,19.4,115.6,276.91,1999,9,台東縣,30,3.853333333333333,9.230333333333334,2.5641866
花蓮農改,26.4,33.1,21.7,94.0,306.32,1999,9,花蓮縣,30,3.1333333333333333,10.210666666666668,2.8365232000000002
蘭陽分場,,,,,,1999,9,宜蘭縣,30,,,
茶改場,26.2,33.4,17.9,187.4,388.5,1999,9,桃園市,30,6.246666666666667,12.95,3.5975099999999998
畜試所,27.1,34.3,19.4,142.8,365.26,1999,9,臺南市,30,4.760000000000001,12.175333333333333,3.3823076
恆春畜試,*27.0,*32.4,*22.0,144.1,461.33,1999,9,屏東縣,30,4.803333333333333,15.377666666666666,4.2719157999999995
農業試驗所,27.5,35.2,18.8,122.7,,1999,9,台中市,30,4.09,,
苗栗農改,27.1,39.1,20.2,,451.1,1999,9,苗栗縣,30,,15.036666666666669,4.177186000000001
臺大溪頭,*19.4,*26.1,*12.0,,,1999,9,南投縣,30,,,
桃園農改,,,,,,1999,10,桃園市,31,,,
茶改場,23.6,33.3,17.1,146.2,321.8,1999,10,桃園市,31,4.716129032258064,10.380645161290325,2.883743225806452
五峰站,19.3,26.8,13.7,103.6,322.66,1999,10,新竹縣,31,3.341935483870968,10.408387096774195,2.8914499354838714
苗栗農改,24.6,37.1,17.3,,375.98,1999,10,苗栗縣,31,,12.128387096774194,3.369265935483871
農業試驗所,27,38.7,19.4,105.0,318.27,1999,10,台中市,31,3.3870967741935485,10.266774193548386,2.8521098709677415
臺中農改,25.4,35.2,19,202.2,299.79,1999,10,彰化縣,31,6.52258064516129,9.670645161290324,2.6865052258064517
臺大溪頭,18.3,24.4,14,,248.04,1999,10,南投縣,31,,8.001290322580646,2.2227584516129033
雲林分場,24.9,33,18.5,121.8,320.44,1999,10,雲林縣,31,3.929032258064516,10.336774193548386,2.871555870967742
義竹分場,25.2,33.3,18.7,,444.45,1999,10,嘉義縣,31,,14.337096774193547,3.9828454838709675
畜試所,25.5,35.1,18.8,120.2,285.24,1999,10,臺南市,31,3.8774193548387097,9.201290322580643,2.5561184516129027
恆春畜試,26.3,31.1,22.1,187.1,481.91,1999,10,屏東縣,31,6.035483870967742,15.545483870967743,4.318535419354839
高雄農改,26.2,33.1,21.4,114.9,264.83,1999,10,屏東縣,31,3.706451612903226,8.542903225806452,2.373218516129032
蘭陽分場,*23.5,*32.1,*18.6,,,1999,10,宜蘭縣,31,,,
花蓮農改,24.4,31.5,17.8,70.7,345.59,1999,10,花蓮縣,31,2.2806451612903227,11.14806451612903,3.0969323225806447
斑鳩分場,23.3,30.6,18.5,95.4,241.18,1999,10,台東縣,31,3.07741935483871,7.78,2.161284
桃園農改,20.4,30,14,129.3,245.72,1999,11,桃園市,30,4.3100000000000005,8.190666666666667,2.2753672
五峰站,15.6,23.5,7.9,104.8,264.42,1999,11,新竹縣,30,3.493333333333333,8.814,2.4485292
台中農改,22,30.5,14.9,185.6,250.04,1999,11,台中市,30,6.1866666666666665,8.334666666666667,2.3153704
雲林分場,21.2,30.4,12.8,147.7,284.53,1999,11,雲林縣,30,4.923333333333333,9.484333333333332,2.6347477999999995
義竹分場,22,30.9,13.6,,405.21,1999,11,嘉義縣,30,,13.507,3.7522445999999996
高雄農改,23.9,31.8,16.5,129.5,241.58,1999,11,屏東縣,30,4.316666666666666,8.052666666666667,2.2370308
斑鳩分場,20.6,29.3,14,67.0,188.57,1999,11,台東縣,30,2.2333333333333334,6.285666666666667,1.7461582
花蓮農改,21.4,33.1,16.5,57.4,230.81,1999,11,花蓮縣,30,1.913333333333333,7.693666666666667,2.1373006
蘭陽分場,20.2,28.2,15,67.0,192.81,1999,11,宜蘭縣,30,2.2333333333333334,6.4270000000000005,1.7854206000000001
