Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2023-04-27,491.0,495.0,489.0,493.5,481.81561279296875,29537148,517.1,29.0503,517.1,12.9925,543.085,491.115
2023-04-28,498.5,502.0,498.0,502.0,490.11431884765625,24824100,515.95,37.5,515.95,13.2714,542.4928,489.4072
2023-05-02,500.0,502.0,496.5,501.0,489.1380310058594,15325791,514.5,33.5227,514.5,13.2397,540.9794,488.0206
2023-05-03,496.0,498.0,495.0,496.0,484.2564392089844,11369311,512.55,27.8409,512.55,12.9299,538.4098,486.6902
2023-05-04,497.0,499.5,496.0,498.0,486.20904541015625,13140291,510.8,30.1136,510.8,12.3729,535.5458,486.0542
2023-05-05,500.0,502.0,498.5,500.0,488.16168212890625,7488897,509.3,32.7586,509.3,11.7242,532.7484,485.8516
2023-05-08,509.0,509.0,502.0,504.0,492.0669860839844,11243634,507.95,35.0,507.95,10.5941,529.1382,486.7618
2023-05-09,507.0,510.0,505.0,510.0,497.9249572753906,16197743,507.0,39.8936,507.0,9.3906,525.7812,488.2188
2023-05-10,508.0,508.0,500.0,503.0,491.0906677246094,18859212,505.95,39.0625,505.95,8.5238,522.9976,488.9024
2023-05-11,506.0,506.0,498.5,499.0,487.18536376953125,13382927,504.9,39.0625,504.9,7.9779,520.8558,488.9442
2023-05-12,496.0,500.0,495.0,496.0,484.2564392089844,18465362,504.2,42.1348,504.2,8.1198,520.4396,487.9604
2023-05-15,497.0,499.5,494.5,495.5,483.7682189941406,13315766,503.175,37.7246,503.175,7.841,518.857,487.493
2023-05-16,503.0,508.0,500.0,505.0,493.0433044433594,21140315,502.425,41.573,502.425,6.7945,516.014,488.836
2023-05-17,508.0,521.0,506.0,519.0,506.7118225097656,41406763,502.625,52.0408,502.625,7.2291,517.0832,488.1668
2023-05-18,533.0,536.0,526.0,530.0,517.4513549804688,43096277,503.625,59.6154,503.625,9.3694,522.3638,484.8862
2023-05-19,535.0,535.0,529.0,532.0,519.4041137695312,32099068,504.575,59.2233,504.575,11.1618,526.8986,482.2514
