站名,可借,可還,更新時間
YouBike2.0_至誠路一段305巷口,6,15,2022-02-18 08:30:45
YouBike2.0_華齡公園,5,5,2022-02-18 09:18:13
YouBike2.0_前港公園(福德宮),13,5,2022-02-18 09:19:12
YouBike2.0_華齡街185巷口,5,7,2022-02-18 09:09:11
YouBike2.0_前港公園(前港街),10,9,2022-02-18 09:05:30
YouBike2.0_百齡高中,11,4,2022-02-18 09:16:09
YouBike2.0_捷運芝山站(2號出口),4,17,2022-02-18 09:19:12
YouBike2.0_臺灣戲曲中心,8,6,2022-02-18 09:11:12
YouBike2.0_捷運劍潭站(2號出口),11,30,2022-02-18 09:18:13
YouBike2.0_劍潭基河路口,5,15,2022-02-18 09:18:13
YouBike2.0_志成公園,3,12,2022-02-18 09:19:12
YouBike2.0_福林國小,9,5,2022-02-18 09:02:12
YouBike2.0_中山中正路口,11,2,2022-02-18 09:18:13
YouBike2.0_士林運動中心,5,9,2022-02-18 09:13:12
YouBike2.0_陽明高中,7,8,2022-02-18 08:18:14
YouBike2.0_兒童新樂園,8,15,2022-02-18 09:18:13
YouBike2.0_臺北市立天文館,13,8,2022-02-18 09:19:12
YouBike2.0_華聲公園,6,7,2022-02-18 08:30:46
YouBike2.0_福林公園,13,4,2022-02-18 09:08:11
YouBike2.0_捷運士林站(2號出口),20,10,2022-02-18 09:18:13
YouBike2.0_銘傳大學,2,13,2022-02-18 08:53:13
YouBike2.0_士林高商,10,16,2022-02-18 09:13:12
YouBike2.0_蘭雅公園,0,10,2022-02-18 09:18:04
YouBike2.0_聯合醫院陽明院區,9,6,2022-02-18 09:04:11
YouBike2.0_捷運芝山站(1號出口),16,20,2022-02-18 09:16:09
YouBike2.0_至誠公園,5,10,2022-02-18 08:18:14
YouBike2.0_原住民文化主題公園,6,15,2022-02-18 08:33:12
YouBike2.0_通河東街2段10巷口,5,10,2022-02-18 09:16:09
YouBike2.0_梅林新村,6,9,2022-02-18 05:42:11
YouBike2.0_延平北中正路口,11,19,2022-02-18 09:12:12
YouBike2.0_重慶北路四段190巷口,6,7,2022-02-18 08:50:33
YouBike2.0_重慶北葫東街口,6,9,2022-02-18 09:08:11
YouBike2.0_葫蘆國小,7,13,2022-02-18 09:19:12
YouBike2.0_士林3號廣場,16,14,2022-02-18 09:01:11
YouBike2.0_社正公園,3,12,2022-02-18 08:57:12
YouBike2.0_社子國小,5,9,2022-02-18 08:26:14
YouBike2.0_社中街384巷口,5,13,2022-02-18 04:50:30
YouBike2.0_忠誠路一段138號,5,10,2022-02-18 08:57:12
YouBike2.0_社子公園,6,8,2022-02-18 08:26:14
YouBike2.0_國立故宮博物院,7,10,2022-02-18 08:35:26
YouBike2.0_泰北高中,9,8,2022-02-18 08:55:38
YouBike2.0_後港公園,5,10,2022-02-18 09:05:30
YouBike2.0_重慶北路四段117號,11,7,2022-02-18 09:06:12
YouBike2.0_社子島島頭公園,8,7,2022-02-18 09:16:09
YouBike2.0_延平北路八段133巷口,4,11,2022-02-18 06:05:25
YouBike2.0_坤天亭,5,9,2022-02-18 00:59:11
YouBike2.0_社子島濕地解說小築,5,10,2022-02-18 06:17:55
YouBike2.0_福安國中,4,7,2022-02-18 08:43:12
YouBike2.0_福安消防分隊,4,11,2022-02-18 06:15:25
YouBike2.0_聖山綠地,9,4,2022-02-18 09:18:13
YouBike2.0_芝山國小,6,8,2022-02-18 09:21:04
YouBike2.0_士林新天地,11,3,2022-02-18 09:02:12
YouBike2.0_蘭雅國小,7,4,2022-02-18 09:00:41
YouBike2.0_中正基河路口,14,6,2022-02-18 09:00:41
YouBike2.0_福林公園(中正路),2,8,2022-02-18 08:52:12
YouBike2.0_至善臨溪路口,10,6,2022-02-18 08:52:12
YouBike2.0_市立圖書館葫蘆堵分館,7,3,2022-02-18 08:06:12
YouBike2.0_永平社會住宅,5,10,2022-02-17 21:55:41
YouBike2.0_雨農橋,2,14,2022-02-18 09:12:12
YouBike2.0_芝山聖佑宮,6,9,2022-02-18 05:31:11
YouBike2.0_捷運線型公園(後街),1,12,2022-02-18 09:04:11
YouBike2.0_台北花木批發市場,6,9,2022-02-18 08:57:12
YouBike2.0_捷運萬隆站(4號出口),9,12,2022-02-18 09:19:12
YouBike2.0_捷運萬隆站(1號出口),11,3,2022-02-18 09:13:12
YouBike2.0_萬和二號公園,12,6,2022-02-18 09:13:12
YouBike2.0_捷運萬隆站(2號出口),10,2,2022-02-18 09:14:11
YouBike2.0_景仁公園,10,6,2022-02-18 08:57:12
YouBike2.0_捷運景美站(2號出口),13,18,2022-02-18 09:07:12
YouBike2.0_羅斯福景隆街口,7,13,2022-02-18 08:43:12
YouBike2.0_景福街/羅斯福路6段142巷口,8,20,2022-02-18 09:19:12
YouBike2.0_興旺公園,14,16,2022-02-18 08:51:12
YouBike2.0_興福國中,6,19,2022-02-18 09:16:09
YouBike2.0_興隆路2段203巷,10,8,2022-02-18 07:45:21
YouBike2.0_景美運動公園,6,5,2022-02-18 09:12:12
YouBike2.0_景美醫院,2,16,2022-02-18 09:18:13
YouBike2.0_師範大學公館校區,6,8,2022-02-18 09:16:09
YouBike2.0_景華街128巷口,4,10,2022-02-18 09:18:13
YouBike2.0_仙跡岩登山口(景興路),7,15,2022-02-18 08:09:11
YouBike2.0_國立政治大學,2,33,2022-02-18 09:12:12
YouBike2.0_捷運動物園站,5,13,2022-02-18 07:37:12
YouBike2.0_捷運木柵站,5,14,2022-02-18 08:40:32
YouBike2.0_捷運萬芳社區站,5,11,2022-02-18 07:45:31
YouBike2.0_文山運動中心,6,7,2022-02-18 07:19:11
YouBike2.0_捷運辛亥站,7,6,2022-02-18 09:09:11
YouBike2.0_興豐公園,10,6,2022-02-18 08:52:28
YouBike2.0_木柵光輝路口,4,5,2022-02-18 08:04:12
YouBike2.0_考試院,10,4,2022-02-18 08:18:14
YouBike2.0_和興路26巷口,5,10,2022-02-18 08:29:13
YouBike2.0_世新大學,6,9,2022-02-18 07:41:13
YouBike2.0_一壽橋,5,7,2022-02-18 08:56:11
YouBike2.0_臺北市立景美女中,9,4,2022-02-18 08:59:12
YouBike2.0_永安藝文館-表演36房,9,6,2022-02-18 09:09:11
YouBike2.0_忠順區民活動中心,6,4,2022-02-18 09:18:13
YouBike2.0_景文中學,4,16,2022-02-18 06:37:11
YouBike2.0_老泉街籃球場,3,11,2022-02-18 07:25:27
YouBike2.0_文山行政中心,4,6,2022-02-17 20:32:12
YouBike2.0_木柵公園,4,11,2022-02-18 08:43:12
YouBike2.0_興隆公共住宅D2區,8,11,2022-02-18 01:05:44
YouBike2.0_木新路3段95巷口,6,10,2022-02-18 08:52:12
YouBike2.0_樟腳里公園,4,11,2022-02-18 00:18:12
YouBike2.0_實踐國中,8,12,2022-02-18 08:08:12
YouBike2.0_指南路3段2巷,8,5,2022-02-18 07:48:12
YouBike2.0_萊茵公園,9,5,2022-02-17 23:10:41
YouBike2.0_木柵社會住宅,4,8,2022-02-18 08:50:33
YouBike2.0_秀明路一段185巷口,6,14,2022-02-17 20:04:13
YouBike2.0_秀明路一段129巷口,3,19,2022-02-18 07:32:12
YouBike2.0_恆光橋(老泉街),4,9,2022-02-18 09:06:12
YouBike2.0_萬有3號公園,5,9,2022-02-18 09:05:30
YouBike2.0_捷運萬芳醫院站(興隆路三段115巷),11,9,2022-02-18 08:27:13
YouBike2.0_興得閱覽室,15,9,2022-02-18 06:49:12
YouBike2.0_辛亥生態公園,11,7,2022-02-18 08:32:12
YouBike2.0_博嘉運動公園,6,6,2022-02-17 16:18:13
YouBike2.0_國立政治大學(萬壽路),1,55,2022-02-18 07:45:31
YouBike2.0_政大一街口,6,8,2022-02-18 03:00:28
YouBike2.0_臺北自來水事業處,2,18,2022-02-18 09:14:11
YouBike2.0_汀州思源街口東南側,0,20,2022-02-18 09:08:03
YouBike2.0_捷運公館站(1號出口),0,11,2022-02-18 08:55:30
YouBike2.0_捷運公館站(4號出口),0,12,2022-02-18 09:00:32
YouBike2.0_捷運古亭站(9號出口),4,16,2022-02-18 09:18:13
YouBike2.0_捷運古亭站(2號出口),2,10,2022-02-18 09:14:11
YouBike2.0_捷運臺電大樓站(1號出口),0,34,2022-02-18 08:59:04
YouBike2.0_客家文化主題公園,1,14,2022-02-18 08:28:13
YouBike2.0_河堤國小,7,8,2022-02-18 09:10:40
YouBike2.0_紀州庵,4,11,2022-02-18 09:18:13
YouBike2.0_捷運臺電大樓站(5號出口),1,16,2022-02-18 09:03:12
YouBike2.0_捷運臺電大樓站(4號出口),0,13,2022-02-18 09:07:04
YouBike2.0_羅斯福三段金門街口,0,15,2022-02-18 08:58:03
YouBike2.0_牯嶺公園,5,7,2022-02-18 09:14:11
YouBike2.0_捷運古亭站(8號出口),12,3,2022-02-18 09:18:13
YouBike2.0_捷運古亭站(7號出口),3,9,2022-02-18 09:16:09
YouBike2.0_南昌公園,14,7,2022-02-18 09:16:09
YouBike2.0_和平重慶路口,3,22,2022-02-18 09:12:12
YouBike2.0_孫立人將軍官邸,5,18,2022-02-18 09:14:11
YouBike2.0_羅斯福路二段6巷口,0,14,2022-02-18 07:58:03
